"elementName", "elementContent", "typeAttributeIfPresent", "occupation", "office", "health", "event", "ceremony", "calendar", "when"
"date", "1712", "birth", "", "", "", "", "", "", "1712"
"date", "1733 in Febr", "", "", "", "", "", "", "", "1733-02"
"date", "1747", "", "", "", "", "", "", "", "1747"
"date", "Apl 18 1770", "death", "", "", "", "", "", "", "1770-04-18"
"date", "April the 18th 1770", "", "", "", "", "", "", "", "1770-04-18"
"date", "Easter Tuesday", "", "", "", "", "", "", "", ""
"date", "Easter day", "", "", "", "", "", "", "", ""
"name", "Holy Communion", "", "", "", "", "communion", "", "", ""
"name", "Married", "", "", "", "", "marriage", "", "", ""
"name", "Married", "", "", "", "", "marriage", "", "", ""
"name", "Shoemaker", "", "shoemaker", "", "", "", "", "", ""
"name", "communion", "", "", "", "", "communion", "", "", ""
"name", "steward", "", "", "steward", "", "", "", "", ""
"orgName", " Brns", "", "", "", "", "", "", "", ""
"orgName", "Brethren", "", "", "", "", "", "", "", ""
"orgName", "Brn", "", "", "", "", "", "", "", ""
"orgName", "Brn", "", "", "", "", "", "", "", ""
"orgName", "Brn", "", "", "", "", "", "", "", ""
"orgName", "Brns", "", "", "", "", "", "", "", ""
"orgName", "Brns", "", "", "", "", "", "", "", ""
"orgName", "Congn", "", "", "", "", "", "", "", ""
"orgName", "Single Brn", "", "", "", "", "", "", "", ""
"orgName", "Sisters", "", "", "", "", "", "", "", ""
"orgName", "oeconomy", "", "", "", "", "", "", "", ""
"persName", "Br Delamott", "", "", "", "", "", "", "", ""
"persName", "Jno Astley", "", "", "", "", "", "", "", ""
"persName", "John Astley", "", "", "", "", "", "", "", ""
"persName", "Mr Ingham", "", "", "", "", "", "", "", ""
"placeName", "Burying Ground", "", "", "", "", "", "", "", ""
"placeName", "Dukenfield", "", "", "", "", "", "", "", ""
"placeName", "Fulnek", "", "", "", "", "", "", "", ""
"placeName", "Fulnek Hall", "", "", "", "", "", "", "", ""
"placeName", "Hartshed", "", "", "", "", "", "", "", ""
"placeName", "Hartshed Church", "", "", "", "", "", "", "", ""
"placeName", "Lower Wyke", "", "", "", "", "", "", "", ""
"placeName", "Mirfield", "", "", "", "", "", "", "", ""
"placeName", "Mirfield", "", "", "", "", "", "", "", ""
"placeName", "Ockbrook Choir House", "", "", "", "", "", "", "", ""
"placeName", "Yorkshire", "", "", "", "", "", "", "", ""
"placeName", "Yorkshire", "", "", "", "", "", "", "", ""
"roleName", "Br", "honorific", "", "", "", "", "", "", ""
"roleName", "Br", "honorific", "", "", "", "", "", "", ""
"roleName", "Brethren", "honorific", "", "", "", "", "", "", ""
"roleName", "Brother", "honorific", "", "", "", "", "", "", ""
"roleName", "Savr", "honorific", "", "", "", "", "", "", ""
"roleName", "Savrs", "honorific", "", "", "", "", "", "", ""
"roleName", "Savrs", "honorific", "", "", "", "", "", "", ""
