"elementName", "elementContent", "typeAttributeIfPresent", "occupation", "office", "health", "event", "ceremony", "calendar", "when"
"date", " 6th", "", "", "", "", "", "", "", "1772-02-06"
"date", "2 months ago", "", "", "", "", "", "", "", "1771-12"
"date", "7th of Fcbruary", "", "", "", "", "", "", "", "1772-02-07"
"date", "About a half a Year ago", "", "", "", "", "", "", "", "1771-08"
"date", "April 16th 1754", "", "", "", "", "", "", "", ""
"date", "August 29th 1762", "", "", "", "", "", "", "", "1762-08-29"
"date", "Decr 7th 1742", "birth", "", "", "", "", "", "", "1742-12-07"
"date", "February 1772", "", "", "", "", "", "", "", "1772-02"
"date", "March 27th 1766", "", "", "", "", "", "", "", "1766-03-27"
"name", "Consumption", "", "", "", "disease", "", "", "", ""
"name", "Merchant Business", "", "merchant", "", "", "", "", "", ""
"name", "great concern", "emotion", "", "", "", "", "", "", ""
"name", "holy Communion", "", "", "", "", "communion", "", "", ""
"name", "received", "", "", "", "", "reception", "", "", ""
"orgName", "Children's Oeconomy", "", "", "", "", "", "", "", ""
"orgName", "Congn", "", "", "", "", "", "", "", ""
"orgName", "Congregation", "", "", "", "", "", "", "", ""
"orgName", "Single Brns Choir", "", "", "", "", "", "", "", ""
"persName", "Charlesworth", "", "", "", "", "", "", "", ""
"persName", "Charlesworth", "", "", "", "", "", "", "", ""
"persName", "Christian Bell", "", "", "", "", "", "", "", ""
"persName", "Saviour", "deity", "", "", "", "", "", "", ""
"persName", "Savr", "deity", "", "", "", "", "", "", ""
"persName", "Savr", "deity", "", "", "", "", "", "", ""
"persName", "Savr", "deity", "", "", "", "", "", "", ""
"persName", "Savrs", "deity", "", "", "", "", "", "", ""
"persName", "Svrs", "deity", "", "", "", "", "", "", ""
"placeName", "London", "", "", "", "", "", "", "", ""
"placeName", "London", "", "", "", "", "", "", "", ""
"placeName", "London", "", "", "", "", "", "", "", ""
"roleName", " Br", "honorific", "", "", "", "", "", "", ""
"roleName", "Br", "honorific", "", "", "", "", "", "", ""
"roleName", "Brn", "honorific", "", "", "", "", "", "", ""
"roleName", "Brother", "honorific", "", "", "", "", "", "", ""
"roleName", "Savr", "honorific", "", "", "", "", "", "", ""
"roleName", "Savr", "honorific", "", "", "", "", "", "", ""
"roleName", "Savrs", "honorific", "", "", "", "", "", "", ""
