elementName," ""elementContent"""," ""typeAttributeIfPresent"""," ""occupation"""," ""office"""," ""health"""," ""event"""," ""ceremony"""," ""calendar"""," ""when"""
date," ""10th of March"""," """""," """""," """""," """""," """""," """""," """""," ""1765-03-10"""
date," ""1751 May ye 27th"""," ""birth"""," """""," """""," """""," """""," """""," """""," ""1751-05-27"""
date," ""1763 March the 25th"""," """""," """""," """""," """""," """""," """""," """""," ""1763-03-25"""
date," ""Jany ye 30 1765"""," """""," """""," """""," """""," """""," """""," """""," ""1765-01-30"""
date," ""June ye 4th"""," """""," """""," """""," """""," """""," """""," """""," ""1751-06-04"""
name," ""Baptized"""," """""," """""," """""," """""," ""baptism"""," """""," """""," """""
name," ""Congregation day"""," """""," """""," """""," """""," ""religious"""," """""," """""," """""
name," ""disorder began to grow very strong"""," """""," """""," """""," ""disease"""," """""," """""," """""," """""
name," ""great pleasure"""," ""emotion"""," """""," """""," """""," """""," """""," """""," """""
name," ""grow very weak"""," """""," """""," """""," ""disease"""," """""," """""," """""," """""
name," ""she grew worse and worse"""," """""," """""," """""," ""disease"""," """""," """""," """""," """""
name," ""she wept"""," ""emotion"""," """""," """""," """""," """""," """""," """""," """""
name," ""such uncommon joy"""," ""emotion"""," """""," """""," """""," """""," """""," """""," """""
name," ""very chearfull"""," ""emotion"""," """""," """""," """""," """""," """""," """""," """""
orgName," ""Oeconomy"""," """""," """""," """""," """""," """""," """""," """""," """""
orgName," ""great Girls Choir"""," """""," """""," """""," """""," """""," """""," """""," """""
persName," ""Betty Holdaworth"""," """""," """""," """""," """""," """""," """""," """""," """""
persName," ""Fulneck"""," """""," """""," """""," """""," """""," """""," """""," """""
persName," ""Latrobe"""," """""," """""," """""," """""," """""," """""," """""," """""
persName," ""Martha Fawset"""," """""," """""," """""," """""," """""," """""," """""," """""
persName," ""Martha Fawset"""," """""," """""," """""," """""," """""," """""," """""," """""
persName," ""Mary Wight"""," """""," """""," """""," """""," """""," """""," """""," """""
persName," ""Saviour"""," ""deity"""," """""," """""," """""," """""," """""," """""," """""
persName," ""Saviour"""," ""deity"""," """""," """""," """""," """""," """""," """""," """""
persName," ""Saviour"""," ""deity"""," """""," """""," """""," """""," """""," """""," """""
persName," ""Saviour"""," ""deity"""," """""," """""," """""," """""," """""," """""," """""
persName," ""Saviour"""," ""deity"""," """""," """""," """""," """""," """""," """""," """""
persName," ""Saviour"""," ""deity"""," """""," """""," """""," """""," """""," """""," """""
persName," ""Saviours"""," ""deity"""," """""," """""," """""," """""," """""," """""," """""
persName," ""Saviours"""," ""deity"""," """""," """""," """""," """""," """""," """""," """""
persName," ""Savr"""," ""deity"""," """""," """""," """""," """""," """""," """""," """""
persName," ""Savr"""," ""deity"""," """""," """""," """""," """""," """""," """""," """""
persName," ""Sister"""," """""," """""," """""," """""," """""," """""," """""," """""
placeName," ""Childrens School"""," """""," """""," """""," """""," """""," """""," """""," """""
placeName," ""Fulneck"""," """""," """""," """""," """""," """""," """""," """""," """""
placeName," ""Fulneck"""," """""," """""," """""," """""," """""," """""," """""," """""
placeName," ""Scholes"""," """""," """""," """""," """""," """""," """""," """""," """""
placeName," ""Wike"""," """""," """""," """""," """""," """""," """""," """""," """""
roleName," ""Br"""," """""," """""," """""," """""," """""," """""," """""," """""
roleName," ""Sister"""," """""," """""," """""," """""," """""," """""," """""," """""
roleName," ""Sister"""," """""," """""," """""," """""," """""," """""," """""," """""
