"elementName", "elementContent", "typeAttributeIfPresent", "occupation", "office", "health", "event", "ceremony", "calendar", "when"
"date", "10th of this Month", "", "", "", "", "", "", "", "1757-06-10"
"date", "13th of August 175", "", "", "", "", "", "", "", "1751-08-13"
"date", "14th of july 51", "", "", "", "", "", "", "", "1751-07-14"
"date", "16th of April 1724", "birth", "", "", "", "", "", "", "1724-04-16"
"date", "Decber ye 17th 53", "", "", "", "", "", "", "", "1753-12-17"
"date", "June ye 30", "", "", "", "", "", "", "", "1757-06-30"
"date", "June ye 8th", "", "", "", "", "", "", "", "1757-06-08"
"date", "Sr of May", "", "", "", "", "", "", "", "1752-05-03"
"date", "janry y 16", "", "", "", "", "", "", "", "1754-01-16"
"date", "july ye 9th 1757", "", "", "", "", "", "", "", "1757-07-09"
"name", "Disorder", "", "", "", "disease", "", "", "", ""
"name", "Sacrament", "", "", "", "", "sacrament", "", "", ""
"name", "Sacrament", "", "", "", "", "sacrament", "", "", ""
"name", "She spoke with much tenderness", "emotion", "", "", "", "", "", "", ""
"name", "Voilent Cold", "", "", "", "disease", "", "", "", ""
"name", "began to grow Sickley", "", "", "", "disease", "", "", "", ""
"name", "confirmed", "", "", "", "", "sacrament", "", "", ""
"name", "desier of her heart after his marter'd Carpess by Each enjoyment", "emotion", "", "", "", "", "", "", ""
"name", "extrem great pain", "", "", "", "disease", "", "", "", ""
"name", "fiver", "", "", "", "disease", "", "", "", ""
"name", "grife I have", "emotion", "", "", "", "", "", "", ""
"name", "holy Sacrament", "", "", "", "", "sacrament", "", "", ""
"name", "holy Sacrament", "", "", "", "", "sacrament", "", "", ""
"name", "loning and desier", "emotion", "", "", "", "", "", "", ""
"name", "no more such great pain", "", "", "", "recovered", "", "", "", ""
"name", "pains comeing on her again, which continued to grow worse & worse", "", "", "", "disease", "", "", "", ""
"name", "ples'd her", "emotion", "", "", "", "", "", "", ""
"name", "recoverd and grew better", "", "", "", "recovered", "", "", "", ""
"name", "sacrament", "", "", "", "", "sacrament", "", "", ""
"name", "she was seized with fits", "", "", "", "disease", "", "", "", ""
"name", "sufferd hard pains", "", "", "", "disease", "", "", "", ""
"name", "very sickley", "", "", "", "disease", "", "", "", ""
"orgName", "Congrefation", "", "", "", "", "", "", "", ""
"orgName", "Congregation", "", "", "", "", "", "", "", ""
"orgName", "Oconemy", "", "", "", "", "", "", "", ""
"orgName", "Sr", "", "", "", "", "", "", "", ""
"orgName", "Sr", "", "", "", "", "", "", "", ""
"orgName", "Srs", "", "", "", "", "", "", "", ""
"orgName", "oconomy", "", "", "", "", "", "", "", ""
"persName", "Lydia Haley", "", "", "", "", "", "", "", ""
"persName", "Mr. Ingham", "", "", "", "", "", "", "", ""
"persName", "Saviour", "dietey", "", "", "", "", "", "", ""
"placeName", "Choir hous", "", "", "", "", "", "", "", ""
"placeName", "Clecketon", "", "", "", "", "", "", "", ""
"placeName", "Clecketor", "", "", "", "", "", "", "", ""
"placeName", "Spen near little gimersal", "", "", "", "", "", "", "", ""
"placeName", "Tyrsal Hall", "", "", "", "", "", "", "", ""
"placeName", "gummesall", "", "", "", "", "", "", "", ""
"roleName", "Savior", "honorific", "", "", "", "", "", "", ""
"roleName", "Saviour", "honorific", "", "", "", "", "", "", ""
"roleName", "Saviour", "honorific", "", "", "", "", "", "", ""
"roleName", "Saviour", "honorific", "", "", "", "", "", "", ""
"roleName", "Saviour", "honorific", "", "", "", "", "", "", ""
