"elementName", "elementContent", "typeAttributeIfPresent", "occupation", "office", "health", "event", "ceremony", "calendar", "when"
"date", "13th of August", "", "", "", "", "", "", "", "1753-08-13"
"date", "1743", "", "", "", "", "", "", "", "1743"
"date", "1748", "", "", "", "", "", "", "", "1748"
"date", "1751", "", "", "", "", "", "", "", "1751"
"date", "25 Day of Feb: 1727", "birth", "", "", "", "", "", "", "1727-02-25"
"date", "Eight of Sept", "", "", "", "", "", "", "", "1753-09-08"
"date", "In May", "", "", "", "", "", "", "", "1753-05"
"date", "Ninth of September", "", "", "", "", "", "", "", "1753-09-09"
"date", "Novr: 1732", "", "", "", "", "", "", "", "1732-11"
"date", "Saturday the 15 of September", "", "", "", "", "", "", "", "1753-09-15"
"date", "September 1750", "", "", "", "", "", "", "", "1750-09"
"date", "Spring", "", "", "", "", "", "", "", "1752"
"name", "Complication of disorders", "", "", "", "disease", "", "", "", ""
"name", "Disorder", "", "", "", "disease", "", "", "", ""
"name", "Dropsey", "", "", "", "disease", "", "", "", ""
"name", "Dropsical disease", "", "", "", "disease", "", "", "", ""
"name", "Exceeding bad", "", "", "", "disease", "", "", "", ""
"name", "Extreamly Bad", "", "", "", "disease", "", "", "", ""
"name", "Happy", "emotion", "", "", "", "", "", "", ""
"name", "Hearty desire", "emotion", "", "", "", "", "", "", ""
"name", "Lords Supper", "", "", "", "", "sacrament", "", "", ""
"name", "Pain", "emotion", "", "", "", "", "", "", ""
"name", "Pleasure Rejoiceing in the full assurance she felt of the Love", "emotion", "", "", "", "", "", "", ""
"name", "Receiv'd into the Congn", "", "", "", "", "reception", "", "", ""
"name", "Rhoumatism", "", "", "", "disease", "", "", "", ""
"name", "Rhoumatism", "", "", "", "disease", "", "", "", ""
"name", "Sacrament", "", "", "", "", "sacrament", "", "", ""
"name", "Supper Day", "", "", "", "", "sacrament", "", "", ""
"name", "great joy & satisfaction", "emotion", "", "", "", "", "", "", ""
"name", "praising & adoring", "emotion", "", "", "", "", "", "", ""
"name", "sigh & weep", "emotion", "", "", "", "", "", "", ""
"name", "stirr'd up in her Heart", "emotion", "", "", "", "", "", "", ""
"name", "worse than Ever", "", "", "", "disease", "", "", "", ""
"orgName", "Oconomy", "", "", "", "", "", "", "", ""
"persName", "Dorge", "", "", "", "", "", "", "", ""
"persName", "Holy ghost", "deity", "", "", "", "", "", "", ""
"persName", "Sally Hoult", "", "", "", "", "", "", "", ""
"persName", "Saviour", "deity", "", "", "", "", "", "", ""
"persName", "Saviour", "deity", "", "", "", "", "", "", ""
"persName", "Saviour", "deity", "", "", "", "", "", "", ""
"placeName", "Bramell", "", "", "", "", "", "", "", ""
"placeName", "Cheshire", "", "", "", "", "", "", "", ""
"placeName", "Choir House", "", "", "", "", "", "", "", ""
"placeName", "Duckenfield", "", "", "", "", "", "", "", ""
"placeName", "Duckenfield", "", "", "", "", "", "", "", ""
"placeName", "Parish of Stockport", "", "", "", "", "", "", "", ""
"placeName", "Single Sisters House", "", "", "", "", "", "", "", ""
"placeName", "Single Sisters House", "", "", "", "", "", "", "", ""
"placeName", "Tyre-sell-Hall", "", "", "", "", "", "", "", ""
"placeName", "Yorkshire", "", "", "", "", "", "", "", ""
"placeName", "Yorkshire", "", "", "", "", "", "", "", ""
"roleName", "Sister", "honorific", "", "", "", "", "", "", ""
"roleName", "Sister", "honorific", "", "", "", "", "", "", ""
"roleName", "sisters", "honorific", "", "", "", "", "", "", ""
