"elementName", "elementContent", "typeAttributeIfPresent", "occupation", "office", "health", "event", "ceremony", "calendar", "when"
"date", "1745", "", "", "", "", "", "", "", "1745"
"date", "1747", "", "", "", "", "", "", "", "1747"
"date", "1760", "", "", "", "", "", "", "", "1760"
"date", "Feb 16 1770", "", "", "", "", "", "", "", "1770-02-16"
"date", "Febr 16 1770", "", "", "", "", "", "", "", "1770-02-16"
"date", "May 29 1722", "birth", "", "", "", "", "", "", "1722-05-29"
"date", "Nov 1747", "", "", "", "", "", "", "", "1747-11"
"date", "year 17", "", "", "", "", "", "", "", "1744"
"date", "year 50", "", "", "", "", "", "", "", "1750"
"name", "Bodily Health was also much impair'd", "health", "", "", "", "", "", "", ""
"name", "Holy Sacrement", "", "", "", "", "sacrament", "", "", ""
"name", "happiness", "emotion", "", "", "", "", "", "", ""
"name", "love", "emotion", "", "", "", "", "", "", ""
"orgName", "Brethern", "", "", "", "", "", "", "", ""
"orgName", "Congregation", "", "", "", "", "", "", "", ""
"orgName", "Decenters", "", "", "", "", "", "", "", ""
"orgName", "Oeconomy", "", "", "", "", "", "", "", ""
"orgName", "Oeconomy", "", "", "", "", "", "", "", ""
"orgName", "Oeconomy", "", "", "", "", "", "", "", ""
"orgName", "Sisrs", "", "", "", "", "", "", "", ""
"orgName", "Sisrs Oeconomy", "", "", "", "", "", "", "", ""
"orgName", "Sistrs Oeconomy", "", "", "", "", "", "", "", ""
"persName", "God", "deity", "", "", "", "", "", "", ""
"persName", "Mr Inham", "", "", "", "", "", "", "", ""
"placeName", "Bedford", "", "", "", "", "", "", "", ""
"placeName", "Choir house", "", "", "", "", "", "", "", ""
"placeName", "Choir House", "", "", "", "", "", "", "", ""
"placeName", "Conhouse", "", "", "", "", "", "", "", ""
"placeName", "Fullneck", "", "", "", "", "", "", "", ""
"placeName", "Fulneck", "", "", "", "", "", "", "", ""
"placeName", "Fulneck", "", "", "", "", "", "", "", ""
"placeName", "Littlemoore", "", "", "", "", "", "", "", ""
"placeName", "Northarm", "", "", "", "", "", "", "", ""
"placeName", "Oxhaighs", "", "", "", "", "", "", "", ""
"placeName", "Yorkshire", "", "", "", "", "", "", "", ""
"placeName", "parish of Halifax", "", "", "", "", "", "", "", ""
"roleName", "Saviour", "honrofic", "", "", "", "", "", "", ""
"roleName", "Savr", "honorific", "", "", "", "", "", "", ""
"roleName", "Savr", "honorific", "", "", "", "", "", "", ""
