elementName," ""elementContent"""," ""typeAttributeIfPresent"""," ""occupation"""," ""office"""," ""health"""," ""event"""," ""ceremony"""," ""calendar"""," ""when"""
date," ""5th year"""," """""," """""," """""," """""," """""," """""," """""," ""1780"""
date," ""Febr 23d 1772"""," """""," """""," """""," """""," """""," """""," """""," ""1772-02-23"""
date," ""Feby 18th 1776"""," """""," """""," """""," """""," """""," """""," """""," ""1776-02-18"""
date," ""I was about 10 years ould"""," """""," """""," """""," """""," """""," """""," """""," ""1785"""
date," ""Janry 18 1778"""," """""," """""," """""," """""," """""," """""," """""," ""1778-01-18"""
date," ""March 25th 1770"""," """""," """""," """""," """""," """""," """""," """""," ""1770-03-25"""
date," ""May 3 1778"""," ""death"""," """""," """""," """""," """""," """""," """""," ""1778-05-03"""
date," ""May 4th 1773"""," """""," """""," """""," """""," """""," """""," """""," ""1773-05-1773"""
date," ""May ye 3d"""," ""death"""," """""," """""," """""," """""," """""," """""," ""1778-05-03"""
date," ""Novr 28th 1773"""," """""," """""," """""," """""," """""," """""," """""," ""1773-11-28"""
date," ""in my 13th yr"""," """""," """""," """""," """""," """""," """""," """""," ""1788"""
name," ""Consumption"""," """""," """""," """""," ""disease"""," """""," """""," """""," """""
name," ""H: Commuion"""," """""," """""," """""," """""," ""communnion"""," """""," """""," """""
name," ""H: Communion"""," """""," """""," """""," """""," ""communion"""," """""," """""," """""
name," ""H: Comunion"""," """""," """""," """""," """""," ""communion"""," """""," """""," """""
name," ""I wept for grace"""," ""emotion"""," """""," """""," """""," """""," """""," """""," """""
name," ""bad cold and cough"""," """""," """""," """""," ""disease"""," """""," """""," """""," """""
name," ""baptiz'd"""," """""," """""," """""," """""," ""baptism"""," """""," """""," """""
name," ""causd me to be very uneasy"""," ""emotion"""," """""," """""," """""," """""," """""," """""," """""
name," ""inexpressable desire"""," ""emotion"""," """""," """""," """""," """""," """""," """""," """""
name," ""my misery became greater"""," ""emotion"""," """""," """""," """""," """""," """""," """""," """""
name," ""receivd"""," """""," """""," """""," """""," ""reception"""," """""," """""," """""
name," ""receivd"""," """""," """""," """""," """""," ""reception"""," """""," """""," """""
name," ""recievd into the Congr"""," """""," """""," """""," """""," ""receptionn"""," """""," """""," """""
name," ""this was a comfort which no words can describe"""," ""emotion"""," """""," """""," """""," """""," """""," """""," """""
name," ""very sickly"""," """""," """""," """""," ""disease"""," """""," """""," """""," """""
orgName," ""Ch: of Eng:"""," """""," """""," """""," """""," """""," """""," """""," """""
orgName," ""Congn"""," """""," """""," """""," """""," """""," """""," """""," """""
orgName," ""Congr"""," """""," """""," """""," """""," """""," """""," """""," """""
orgName," ""Congr"""," """""," """""," """""," """""," """""," """""," """""," """""
orgName," ""G: Girls Choir"""," """""," """""," """""," """""," """""," """""," """""," """""
orgName," ""S Srs Choir"""," """""," """""," """""," """""," """""," """""," """""," """""
orgName," ""S. Srs"""," """""," """""," """""," """""," """""," """""," """""," """""
orgName," ""Sisrs"""," """""," """""," """""," """""," """""," """""," """""," """""
persName," ""Sarah Skelton"""," """""," """""," """""," """""," """""," """""," """""," """""
placeName," ""Burstoll"""," """""," """""," """""," """""," """""," """""," """""," """""
placeName," ""Fulneck"""," """""," """""," """""," """""," """""," """""," """""," """""
placeName," ""Fulneck"""," """""," """""," """""," """""," """""," """""," """""," """""
placeName," ""Fulneck"""," """""," """""," """""," """""," """""," """""," """""," """""
placeName," ""Fulneck"""," """""," """""," """""," """""," """""," """""," """""," """""
placeName," ""Gumersall"""," """""," """""," """""," """""," """""," """""," """""," """""
placeName," ""Pudsey"""," """""," """""," """""," """""," """""," """""," """""," """""
placeName," ""Robert Town"""," """""," """""," """""," """""," """""," """""," """""," """""
placeName," ""Sisr House"""," """""," """""," """""," """""," """""," """""," """""," """""
placeName," ""Yorkshire"""," """""," """""," """""," """""," """""," """""," """""," """""
roleName," ""Saviour"""," ""honorific"""," """""," """""," """""," """""," """""," """""," """""
roleName," ""Savr"""," ""honorific"""," """""," """""," """""," """""," """""," """""," """""
roleName," ""Savr"""," ""honorific"""," """""," """""," """""," """""," """""," """""," """""
roleName," ""Savr"""," ""honorific"""," """""," """""," """""," """""," """""," """""," """""
roleName," ""Savr"""," ""honorific"""," """""," """""," """""," """""," """""," """""," """""
roleName," ""Savr"""," ""honorific"""," """""," """""," """""," """""," """""," """""," """""
roleName," ""Savr"""," ""honorific"""," """""," """""," """""," """""," """""," """""," """""
roleName," ""Savr"""," ""honorific"""," """""," """""," """""," """""," """""," """""," """""
roleName," ""Savr"""," ""honorific"""," """""," """""," """""," """""," """""," """""," """""
roleName," ""Savr"""," ""honorific"""," """""," """""," """""," """""," """""," """""," """""
roleName," ""Savr"""," ""honorific"""," """""," """""," """""," """""," """""," """""," """""
roleName," ""Savr"""," ""honorific"""," """""," """""," """""," """""," """""," """""," """""
roleName," ""Savr"""," ""honorific"""," """""," """""," """""," """""," """""," """""," """""
roleName," ""Savr"""," ""honorific"""," """""," """""," """""," """""," """""," """""," """""
roleName," ""Savr"""," ""honorific"""," """""," """""," """""," """""," """""," """""," """""
roleName," ""Savrs"""," ""honorifc"""," """""," """""," """""," """""," """""," """""," """""
roleName," ""Savrs"""," ""honorific"""," """""," """""," """""," """""," """""," """""," """""
roleName," ""Savrs"""," ""honorific"""," """""," """""," """""," """""," """""," """""," """""
roleName," ""Savrs"""," ""honorific"""," """""," """""," """""," """""," """""," """""," """""
roleName," ""Sr"""," ""honorific"""," """""," """""," """""," """""," """""," """""," """""
