"elementName", "elementContent", "typeAttributeIfPresent", "occupation", "office", "health", "event", "ceremony", "calendar", "when"
"date", "10, or 11, years old", "", "", "", "", "", "", "", "1744"
"date", "12th of Decr 1734", "", "", "", "", "", "", "", "1734-12-12"
"date", "1751 on the 5th of April", "", "", "", "", "", "", "", "1751-04-05"
"date", "1753 on the 25 of February", "", "", "", "", "", "", "", "1753-02-25"
"date", "22d of November", "", "", "", "", "", "", "", "1754-11-22"
"date", "About the 15th", "", "", "", "", "", "", "", "1754"
"date", "In February this present year", "", "", "", "", "", "", "", "1754-02"
"date", "July", "", "", "", "", "", "", "", "1754-07"
"date", "July 1748", "", "", "", "", "", "", "", "1748-07"
"date", "On the 12th instant she had her Birth-Day (being 20 years old,)", "", "", "", "", "", "", "", "1754-12-12"
"date", "When she was about Nine years old", "", "", "", "", "", "", "", "1743"
"date", "on Christmas Day.", "", "", "", "", "", "", "", "1754-12-25"
"date", "she was about seven", "", "", "", "", "", "", "", "1741"
"date", "three years old", "", "", "", "", "", "", "", "1737"
"name", "Anxiety & Concern she felt", "emotion", "", "", "", "", "", "", ""
"name", "Brisk in her spirits", "emotion", "", "", "", "", "", "", ""
"name", "Christmas", "holiday", "", "", "", "", "", "", ""
"name", "Consumption", "", "", "", "disease", "", "", "", ""
"name", "Dispossition", "", "", "", "disease", "", "", "", ""
"name", "Happiest day she ever had had in all her Life.", "emotion", "", "", "", "", "", "", ""
"name", "Pleasure & Delight ", "emotion", "", "", "", "", "", "", ""
"name", "Small-Pox", "", "", "", "disease", "", "", "", ""
"name", "Tabernacle", "", "", "", "disease", "", "", "", ""
"name", "Violent pain", "emotion", "", "", "", "", "", "", ""
"name", "addmitted to the Lords Supper", "", "", "", "", "sacrament", "", "", ""
"name", "affraid", "emotion", "", "", "", "", "", "", ""
"name", "chearful & Thankful Heart", "emotion", "", "", "", "", "", "", ""
"name", "chearful in Heart & Soul", "emotion", "", "", "", "", "", "", ""
"name", "disor der", "", "", "", "disease", "", "", "", ""
"name", "exceeding Bad", "", "", "", "disease", "", "", "", ""
"name", "fearing", "emotion", "", "", "", "", "", "", ""
"name", "inly tender feeling", "emotion", "", "", "", "", "", "", ""
"name", "pleas'd", "empotion", "", "", "", "", "", "", ""
"name", "pleasure & serenity", "emotion", "", "", "", "", "", "", ""
"name", "receiv'd in the Congregation", "", "", "", "", "reception", "", "", ""
"orgName", "Great Girls", "", "", "", "", "", "", "", ""
"orgName", "Single Sisters", "", "", "", "", "", "", "", ""
"orgName", "Single Sisters Choir", "", "", "", "", "", "", "", ""
"orgName", "Sisters", "", "", "", "", "", "", "", ""
"orgName", "Sisters", "", "", "", "", "", "", "", ""
"persName", "Aunt", "", "", "", "", "", "", "", ""
"persName", "Aunt", "", "", "", "", "", "", "", ""
"persName", "Aunt", "", "", "", "", "", "", "", ""
"persName", "Aunt", "", "", "", "", "", "", "", ""
"persName", "Aunt", "", "", "", "", "", "", "", ""
"persName", "Him", "deity", "", "", "", "", "", "", ""
"persName", "Him", "deity", "", "", "", "", "", "", ""
"persName", "Mary", "", "", "", "", "", "", "", ""
"persName", "Mary Allot", "", "", "", "", "", "", "", ""
"persName", "Mary Alott", "", "", "", "", "", "", "", ""
"persName", "Sister Mary", "", "", "", "", "", "", "", ""
"persName", "Sister Mary", "", "", "", "", "", "", "", ""
"persName", "Sister Mary", "", "", "", "", "", "", "", ""
"persName", "Sister Mary ", "", "", "", "", "", "", "", ""
"persName", "aunt", "", "", "", "", "", "", "", ""
"persName", "sister Mary", "", "", "", "", "", "", "", ""
"persName", "sister Mary", "", "", "", "", "", "", "", ""
"placeName", "Barksland in the Parish of Elland", "", "", "", "", "", "", "", ""
"placeName", "Cack Heaton", "", "", "", "", "", "", "", ""
"placeName", "Choir", "", "", "", "", "", "", "", ""
"placeName", "Choir House", "", "", "", "", "", "", "", ""
"placeName", "Choir House", "", "", "", "", "", "", "", ""
"placeName", "Choir House", "", "", "", "", "", "", "", ""
"placeName", "Choir House", "", "", "", "", "", "", "", ""
"placeName", "Smith House", "", "", "", "", "", "", "", ""
"placeName", "Tyre-sell Hall", "", "", "", "", "", "", "", ""
"placeName", "Tyre-sell-Hall", "", "", "", "", "", "", "", ""
"placeName", "Tyresell Hall", "", "", "", "", "", "", "", ""
"roleName", "Dear Saviour", "honorific", "", "", "", "", "", "", ""
"roleName", "Holy ghost", "honorific", "", "", "", "", "", "", ""
"roleName", "Our Saviour", "honorific", "", "", "", "", "", "", ""
"roleName", "Saviour", "honorific", "", "", "", "", "", "", ""
"roleName", "Saviour", "honorific", "", "", "", "", "", "", ""
"roleName", "Sister", "honorific", "", "", "", "", "", "", ""
"roleName", "Sister", "honorific", "", "", "", "", "", "", ""
"roleName", "saviour", "honorific", "", "", "", "", "", "", ""
"roleName", "sister", "honorific", "", "", "", "", "", "", ""
