"elementName", "elementContent", "typeAttributeIfPresent", "occupation", "office", "health", "event", "ceremony", "calendar", "when"
"date", "13th", "", "", "", "", "", "", "", "1815-11-13"
"date", "16th", "death", "", "", "", "", "", "", "1815-11-16"
"date", "16th year", "", "", "", "", "", "", "", "1760"
"date", "1790", "", "", "", "", "", "", "", "1790"
"date", "6th of this month", "", "", "", "", "", "", "", "1815-11-06"
"date", "Apr. 28th 1744", "birth", "", "", "", "", "", "", "1744-04-28"
"date", "May 11. 1761", "", "", "", "", "", "", "", "1761-05-11"
"date", "May 8th the following year", "", "", "", "", "", "", "", "1762-05-08"
"date", "Oct 4th 1760", "", "", "", "", "", "", "", "1760-10-04"
"date", "Oct 4th 1810", "", "", "", "", "", "", "", "1810-10-04"
"name", "Childrens meetings", "", "", "", "", "religious", "", "", ""
"name", "H. Comn", "", "", "", "", "communion", "", "", ""
"name", "Office of Houseservant", "", "", "houseservant", "", "", "", "", ""
"name", "Over seer", "", "", "overseer", "", "", "", "", ""
"name", "She often spoke with great pleasure", "emotion", "", "", "", "", "", "", ""
"name", "accepted atcoluth", "", "", "", "", "religious", "", "", ""
"name", "atcoluth", "", "", "acolyte", "", "", "", "", ""
"name", "feel the infirmities of age", "", "", "", "disease", "", "", "", ""
"name", "full of fear", "emotion", "", "", "", "", "", "", ""
"name", "gratitude and amazement", "emotion", "", "", "", "", "", "", ""
"name", "her weakness increased rapidly", "", "", "", "disease", "", "", "", ""
"name", "recd", "", "", "", "", "reception", "", "", ""
"name", "spinning days", "", "", "", "", "religious", "", "", ""
"name", "tears and prayer lifting up her hands to him", "emotion", "", "", "", "", "", "", ""
"orgName", "Brns Congn", "", "", "", "", "", "", "", ""
"orgName", "Brns Congn", "", "", "", "", "", "", "", ""
"orgName", "Girls", "", "", "", "", "", "", "", ""
"orgName", "Sisters", "", "", "", "", "", "", "", ""
"orgName", "Srs", "", "", "", "", "", "", "", ""
"orgName", "Srs", "", "", "", "", "", "", "", ""
"orgName", "Srs", "", "", "", "", "", "", "", ""
"persName", "Rachel Brook", "", "", "", "", "", "", "", ""
"placeName", "Birstol", "", "", "", "", "", "", "", ""
"placeName", "Chaplechapel", "", "", "", "", "", "", "", ""
"placeName", "FulnekFulneck", "", "", "", "", "", "", "", ""
"placeName", "Gumersal", "", "", "", "", "", "", "", ""
"placeName", "Srs House", "", "", "", "", "", "", "", ""
"placeName", "sickroom", "", "", "", "", "", "", "", ""
"roleName", "Lord", "honorific", "", "", "", "", "", "", ""
"roleName", "Lord", "honorific", "", "", "", "", "", "", ""
"roleName", "Lord", "honorific", "", "", "", "", "", "", ""
"roleName", "Lord", "honorific", "", "", "", "", "", "", ""
"roleName", "Lord", "honorific", "", "", "", "", "", "", ""
"roleName", "Saviour", "honorific", "", "", "", "", "", "", ""
"roleName", "Saviour", "honorific", "", "", "", "", "", "", ""
"roleName", "Saviour", "honorific", "", "", "", "", "", "", ""
"roleName", "Saviour", "honorific", "", "", "", "", "", "", ""
"roleName", "Saviours", "honorific", "", "", "", "", "", "", ""
"roleName", "Saviours", "honorific", "", "", "", "", "", "", ""
"roleName", "Sr", "honorific", "", "", "", "", "", "", ""
