"elementName", "elementContent", "typeAttributeIfPresent", "occupation", "office", "health", "event", "ceremony", "calendar", "when"
"date", "About a year after I had left my Master", "", "", "", "", "", "", "", "1785"
"date", "Aug. the 27th 1764", "birth", "", "", "", "", "", "", "1764-08-27"
"date", "Decr 14 1791", "", "", "", "", "", "", "", "1791-12-14"
"date", "June 2d 1772", "", "", "", "", "", "", "", "1772-06-02"
"date", "March 29th 1790", "", "", "", "", "", "", "", "1790-03-29"
"date", "Novr 13th 1791", "", "", "", "", "", "", "", "1791-11-13"
"date", "aug 29th 1792", "", "", "", "", "", "", "", "1792-08-29"
"date", "aug 27 1793", "", "", "", "", "", "", "", "1793-08-27"
"date", "aug 29th", "", "", "", "", "", "", "", "1772-08-29"
"date", "decr 5th 1796", "death", "", "", "", "", "", "", "1796-12-05"
"date", "march last", "", "", "", "", "", "", "", "1793-03"
"date", "when I was about 13 years old", "", "", "", "", "", "", "", "1777"
"date", "year 1793", "", "", "", "", "", "", "", "1793"
"name", "Choir meetings", "", "", "", "", "religious", "", "", ""
"name", "Comunion", "", "", "", "", "communion", "", "", ""
"name", "Comunion", "", "", "", "", "communion", "", "", ""
"name", "Holy Comunion", "", "", "", "", "communion", "", "", ""
"name", "I got well again", "", "", "", "recovered", "", "", "", ""
"name", "Indians", "Indigenous", "", "", "", "", "", "", ""
"name", "Laborer", "", "", "labourer", "", "", "", "", ""
"name", "Sickness", "", "", "", "disease", "", "", "", ""
"name", "Sing Brns Labourer", "", "", "labourer", "", "", "", "", ""
"name", "Sister", "", "", "", "", "", "", "", ""
"name", "Sister", "", "", "", "", "", "", "", ""
"name", "Spectator", "", "", "spectator", "", "", "", "", ""
"name", "Taylor", "", "tailor", "", "", "", "", "", ""
"name", "This was a very blessed day to my poor soul", "emotion", "", "", "", "", "", "", ""
"name", "abiding impression upon my heart", "emotion", "", "", "", "", "", "", ""
"name", "apprentice", "", "apprentice", "", "", "", "", "", ""
"name", "baptized", "", "", "", "", "baptism", "", "", ""
"name", "complaint would terminate in a Consumption", "", "", "", "disease", "", "", "", ""
"name", "he has been sickly", "", "", "", "disease", "", "", "", ""
"name", "he loved him", "emotion", "", "", "", "", "", "", ""
"name", "heavy sickness", "", "", "", "disease", "", "", "", ""
"name", "holy Comunion", "", "", "", "", "communion", "", "", ""
"name", "preaching", "", "", "", "", "religious", "", "", ""
"name", "public preachings", "", "", "", "", "religious", "", "", ""
"name", "real blessing to me", "emotion", "", "", "", "", "", "", ""
"name", "received", "", "", "", "", "reception", "", "", ""
"name", "received", "", "", "", "", "reception", "", "", ""
"name", "shopkeeper", "", "shopkeeper", "", "", "", "", "", ""
"name", "to my great Joy", "emotion", "", "", "", "", "", "", ""
"orgName", "Brn", "", "", "", "", "", "", "", ""
"orgName", "Brn", "", "", "", "", "", "", "", ""
"orgName", "Brns Congn", "", "", "", "", "", "", "", ""
"orgName", "Congn", "", "", "", "", "", "", "", ""
"orgName", "Indian Congn", "", "", "", "", "", "", "", ""
"orgName", "Society", "", "", "", "", "", "", "", ""
"persName", "Br Miller", "", "", "", "", "", "", "", ""
"persName", "John Miller", "", "", "", "", "", "", "", ""
"persName", "Joseph Carr", "", "", "", "", "", "", "", ""
"persName", "Willm Harrison", "", "", "", "", "", "", "", ""
"placeName", "Brns house", "", "", "", "", "", "", "", ""
"placeName", "Fulneck", "", "", "", "", "", "", "", ""
"placeName", "Fulneck", "", "", "", "", "", "", "", ""
"placeName", "Fulneck", "", "", "", "", "", "", "", ""
"placeName", "Fulneck", "", "", "", "", "", "", "", ""
"placeName", "North America", "", "", "", "", "", "", "", ""
"placeName", "Pudsey", "", "", "", "", "", "", "", ""
"placeName", "S. Brns house", "", "", "", "", "", "", "", ""
"placeName", "Stanningly", "", "", "", "", "", "", "", ""
"roleName", "Br", "honorific", "", "", "", "", "", "", ""
"roleName", "Br.", "honorific", "", "", "", "", "", "", ""
"roleName", "Brother", "honorific", "", "", "", "", "", "", ""
"roleName", "Brothers", "honorific", "", "", "", "", "", "", ""
"roleName", "Lord", "honorific", "", "", "", "", "", "", ""
"roleName", "Savior", "honorific", "", "", "", "", "", "", ""
"roleName", "Savior", "honorific", "", "", "", "", "", "", ""
"roleName", "Savior", "honorific", "", "", "", "", "", "", ""
"roleName", "Savior", "honorific", "", "", "", "", "", "", ""
"roleName", "Savior", "honorific", "", "", "", "", "", "", ""
"roleName", "Savior", "honorific", "", "", "", "", "", "", ""
"roleName", "Savior", "honorific", "", "", "", "", "", "", ""
"roleName", "Savr", "honorific", "", "", "", "", "", "", ""
"roleName", "Savr", "honorific", "", "", "", "", "", "", ""
"roleName", "Sing Br", "honorific", "", "", "", "", "", "", ""
