"elementName", "elementContent", "typeAttributeIfPresent", "occupation", "office", "health", "event", "ceremony", "calendar", "when"
"date", "13th year", "", "", "", "", "", "", "", "1733"
"date", "22nd of the same month", "", "", "", "", "", "", "", "1764-02-22"
"date", "Easter in the year 1754", "", "", "", "", "", "", "", "1754-04-14"
"date", "Febr the 17th 1764", "", "", "", "", "", "", "", "1764-02-17"
"date", "I was then about 5 years old ", "", "", "", "", "", "", "", "1725"
"date", "January the 13th 1766", "", "", "", "", "", "", "", "1766-01-13"
"date", "June the 20th 1720", "birth", "", "", "", "", "", "", "1720-06-20"
"date", "Last Year", "", "", "", "", "", "", "", "1769"
"date", "May the 23d 1767", "", "", "", "", "", "", "", "1767-05-23"
"date", "in the Beginning of Decembr", "", "", "", "", "", "", "", "1769-12"
"date", "last Tuesday about 7 o'Clock in the Morning, viz Feby the 6th 1770", "death", "", "", "", "", "", "", "1770-02-06"
"name", "Apprentice", "", "apprentice", "", "", "", "", "", ""
"name", "Bible", "religion", "", "", "", "", "", "", ""
"name", "Cup of Covenant", "", "", "", "", "religious", "", "", ""
"name", "Doctor", "", "doctor", "", "", "", "", "", ""
"name", "He grew weaker from time to time", "", "", "", "disease", "", "", "", ""
"name", "I was not well", "", "", "", "disease", "", "", "", ""
"name", "Mid-shipman", "", "midshipman", "", "", "", "", "", ""
"name", "Preachings", "", "", "", "", "religious", "", "", ""
"name", "Provincial Synod", "", "", "", "", "religious", "", "", ""
"name", "Reception", "", "", "", "", "reception", "", "", ""
"name", "Sermon", "", "", "", "", "religious", "", "", ""
"name", "Servant", "", "servant", "", "", "", "", "", ""
"name", "Sickness", "", "", "", "disease", "", "", "", ""
"name", "Steward", "", "steward", "", "", "", "", "", ""
"name", "Surgeon", "", "surgeon", "", "", "", "", "", ""
"name", "aprenticeship", "", "apprentice", "", "", "", "", "", ""
"name", "grieved", "emotion", "", "", "", "", "", "", ""
"name", "holy Sacrament", "", "", "", "", "sacrament", "", "", ""
"name", "holy Sacrament", "", "", "", "", "sacrament", "", "", ""
"name", "holy Sacrament", "", "", "", "", "sacrament", "", "", ""
"name", "little Hopes", "emotion", "", "", "", "", "", "", ""
"name", "my great Joy", "emotion", "", "", "", "", "", "", ""
"name", "received into the Society", "", "", "", "", "reception", "", "", ""
"name", "sailors", "", "sailor", "", "", "", "", "", ""
"name", "the greatest Pain", "emotion", "", "", "", "", "", "", ""
"name", "violent Feaver", "fever", "", "", "disease", "", "", "", ""
"name", "wept", "emotion", "", "", "", "", "", "", ""
"name", "wept", "emotion", "", "", "", "", "", "", ""
"orgName", "Brn", "", "", "", "", "", "", "", ""
"orgName", "Brn", "", "", "", "", "", "", "", ""
"orgName", "Brn", "", "", "", "", "", "", "", ""
"orgName", "Brn", "", "", "", "", "", "", "", ""
"orgName", "Brn", "", "", "", "", "", "", "", ""
"orgName", "Brn", "", "", "", "", "", "", "", ""
"orgName", "Choir", "", "", "", "", "", "", "", ""
"orgName", "Choir", "", "", "", "", "", "", "", ""
"orgName", "Congn", "", "", "", "", "", "", "", ""
"orgName", "Congn", "", "", "", "", "", "", "", ""
"orgName", "Congn", "", "", "", "", "", "", "", ""
"orgName", "Congregn", "", "", "", "", "", "", "", ""
"orgName", "Moravians", "", "", "", "", "", "", "", ""
"orgName", "Roman-Catholicks", "", "", "", "", "", "", "", ""
"persName", "Abraham", "", "", "", "", "", "", "", ""
"persName", "Brodersen", "", "", "", "", "", "", "", ""
"persName", "Brodersen", "", "", "", "", "", "", "", ""
"persName", "Brodersen", "", "", "", "", "", "", "", ""
"persName", "God", "deity", "", "", "", "", "", "", ""
"persName", "God", "deity", "", "", "", "", "", "", ""
"persName", "God", "deity", "", "", "", "", "", "", ""
"persName", "God", "deity", "", "", "", "", "", "", ""
"persName", "God", "deity", "", "", "", "", "", "", ""
"persName", "God", "deity", "", "", "", "", "", "", ""
"persName", "Greenland", "", "", "", "", "", "", "", ""
"persName", "Hornsby", "", "", "", "", "", "", "", ""
"persName", "Ingham", "", "", "", "", "", "", "", ""
"persName", "Jackson", "", "", "", "", "", "", "", ""
"persName", "Jesus", "deity", "", "", "", "", "", "", ""
"persName", "Jesus", "deity", "", "", "", "", "", "", ""
"persName", "Jesus", "deity", "", "", "", "", "", "", ""
"persName", "Jesus", "deity", "", "", "", "", "", "", ""
"persName", "Jesus", "deity", "", "", "", "", "", "", ""
"persName", "Jesus", "deity", "", "", "", "", "", "", ""
"persName", "Jesus", "deity", "", "", "", "", "", "", ""
"persName", "Jesus", "deity", "", "", "", "", "", "", ""
"persName", "John Darnbrook", "", "", "", "", "", "", "", ""
"persName", "John Holstead", "", "", "", "", "", "", "", ""
"persName", "La Trobe", "", "", "", "", "", "", "", ""
"persName", "Lorde", "", "", "", "", "", "", "", ""
"persName", "Martens", "", "", "", "", "", "", "", ""
"persName", "Satan", "deity", "", "", "", "", "", "", ""
"persName", "West Indies", "", "", "", "", "", "", "", ""
"persName", "Whitfield", "", "", "", "", "", "", "", ""
"persName", "Wilson", "", "", "", "", "", "", "", ""
"placeName", "Barber's Shop", "", "", "", "", "", "", "", ""
"placeName", "Bishopsgate Street", "", "", "", "", "", "", "", ""
"placeName", "Cheapside", "", "", "", "", "", "", "", ""
"placeName", "China", "", "", "", "", "", "", "", ""
"placeName", "Cong Shop", "", "", "", "", "", "", "", ""
"placeName", "East India House", "", "", "", "", "", "", "", ""
"placeName", "East Indies", "", "", "", "", "", "", "", ""
"placeName", "East Indies", "", "", "", "", "", "", "", ""
"placeName", "East. Indies", "", "", "", "", "", "", "", ""
"placeName", "England", "", "", "", "", "", "", "", ""
