"elementName", "elementContent", "typeAttributeIfPresent", "occupation", "office", "health", "event", "ceremony", "calendar", "when"
"date", "1759", "", "", "", "", "", "", "", "1759"
"date", "1762", "", "", "", "", "", "", "", "1762"
"date", "76th year", "", "", "", "", "", "", "", "1824"
"date", "Apr 2d. 1748", "birth", "", "", "", "", "", "", "1748-04-02"
"date", "seven years old", "", "", "", "", "", "", "", "1755"
"date", "twelve years", "", "", "", "", "", "", "", "1760"
"name", "Gospel", "religious", "", "", "", "", "", "", ""
"name", "I shall have abundant cause to thank & praise my faithful Shepherd", "emotion", "", "", "", "", "", "", ""
"name", "Society meetings", "", "", "", "", "religious", "", "", ""
"name", "Usher", "", "usher", "", "", "", "", "", ""
"name", "consumption", "", "", "", "disease", "", "", "", ""
"name", "gouty spasm on the heart", "", "", "", "disease", "", "", "", ""
"name", "kneeled down by the bedside, with incessant tears, I stammered forth my finest prayer from the heart, beseeching the compassionate Savr to show mercy", "emotion", "", "", "", "", "", "", ""
"name", "next Easter", "holiday", "", "", "", "", "", "", ""
"orgName", "Brethrens Church", "", "", "", "", "", "", "", ""
"orgName", "Brn", "", "", "", "", "", "", "", ""
"orgName", "Moravians", "", "", "", "", "", "", "", ""
"orgName", "Moravians", "", "", "", "", "", "", "", ""
"persName", "Aunt Anne", "", "", "", "", "", "", "", ""
"persName", "Christ Jesus", "deity", "", "", "", "", "", "", ""
"persName", "God", "deity", "", "", "", "", "", "", ""
"persName", "God", "deity", "", "", "", "", "", "", ""
"persName", "God", "deity", "", "", "", "", "", "", ""
"persName", "God", "deity", "", "", "", "", "", "", ""
"persName", "God", "deity", "", "", "", "", "", "", ""
"persName", "God", "deity", "", "", "", "", "", "", ""
"persName", "God", "deity", "", "", "", "", "", "", ""
"persName", "God", "deity", "", "", "", "", "", "", ""
"persName", "God", "deity", "", "", "", "", "", "", ""
"persName", "Joseph", "biblical", "", "", "", "", "", "", ""
"persName", "Mr Nyberg", "", "", "", "", "", "", "", ""
"persName", "Samuel", "biblical", "", "", "", "", "", "", ""
"persName", "Thos. Grinfield", "", "", "", "", "", "", "", ""
"persName", "W. Foote", "", "", "", "", "", "", "", ""
"placeName", "Bristol", "", "", "", "", "", "", "", ""
"placeName", "Bristol", "", "", "", "", "", "", "", ""
"placeName", "Cathedral Grammar school", "", "", "", "", "", "", "", ""
"placeName", "Chapel", "", "", "", "", "", "", "", ""
"placeName", "London", "", "", "", "", "", "", "", ""
"placeName", "Maudlin lane", "", "", "", "", "", "", "", ""
"placeName", "Salisbury", "", "", "", "", "", "", "", ""
"placeName", "Westminister", "", "", "", "", "", "", "", ""
"placeName", "Winchester", "", "", "", "", "", "", "", ""
"placeName", "Winchester College", "", "", "", "", "", "", "", ""
"placeName", "Winchester school", "", "", "", "", "", "", "", ""
"placeName", "glorious kingdom", "religious", "", "", "", "", "", "", ""
"placeName", "parish church", "", "", "", "", "", "", "", ""
"roleName", "Christ", "honorific", "", "", "", "", "", "", ""
"roleName", "Creator", "honorific", "", "", "", "", "", "", ""
"roleName", "Holy Spirit", "honorific", "", "", "", "", "", "", ""
"roleName", "Lord", "honorific", "", "", "", "", "", "", ""
"roleName", "Lord", "honorific", "", "", "", "", "", "", ""
"roleName", "Lords", "honorific", "", "", "", "", "", "", ""
"roleName", "Rev.", "honorific", "", "", "", "", "", "", ""
"roleName", "Rev.", "honorific", "", "", "", "", "", "", ""
"roleName", "Revd", "honorific", "", "", "", "", "", "", ""
"roleName", "Saviour", "honorific", "", "", "", "", "", "", ""
"roleName", "Savr", "honorific", "", "", "", "", "", "", ""
"roleName", "Savr", "honorific", "", "", "", "", "", "", ""
"roleName", "Savr", "honorific", "", "", "", "", "", "", ""
"roleName", "Savrs", "honorific", "", "", "", "", "", "", ""
"roleName", "Shepherd", "honorific", "", "", "", "", "", "", ""
"roleName", "Shepherd", "honorific", "", "", "", "", "", "", ""
