"elementName", "elementContent", "typeAttributeIfPresent", "occupation", "office", "health", "event", "ceremony", "calendar", "when"
"date", "16th of Dec.", "death", "", "", "", "", "", "", "1759-12-16"
"date", "26 years of age", "", "", "", "", "", "", "", "1723"
"date", "Augst 13th 1748", "", "", "", "", "", "", "", "1748-08-13"
"date", "In the same Year, namely the 13th of Novr", "", "", "", "", "", "", "", "1748-11-13"
"date", "May the 12th 1759", "", "", "", "", "", "", "", "1759-05-12"
"date", "Month of Octr. 1697", "birth", "", "", "", "", "", "", "1697-10"
"name", "Apprentice", "", "apprentice", "", "", "", "", "", ""
"name", "Clothiers Bussiness", "", "clothier", "", "", "", "", "", ""
"name", "Congn Disceple", "", "", "disceple", "", "", "", "", ""
"name", "Preaching", "", "", "", "", "religious", "", "", ""
"name", "Son", "", "", "", "", "", "", "", ""
"name", "Son", "", "", "", "", "", "", "", ""
"name", "These are not Tears of Sorrow, but Tears of Love to my Saviour", "emotion", "", "", "", "", "", "", ""
"name", "educated in the established church", "education", "", "", "", "", "", "", ""
"name", "he entered into the married State", "", "", "", "", "marriage", "", "", ""
"name", "holy Sacrament", "", "", "", "", "sacrament", "", "", ""
"name", "holy Comunion", "", "", "", "", "communion", "", "", ""
"name", "holy Comunion", "", "", "", "", "communion", "", "", ""
"name", "recieved", "", "", "", "", "reception", "", "", ""
"orgName", "Brn", "", "", "", "", "", "", "", ""
"orgName", "Brn", "", "", "", "", "", "", "", ""
"orgName", "Church", "", "", "", "", "", "", "", ""
"orgName", "Congn", "", "", "", "", "", "", "", ""
"orgName", "Congn", "", "", "", "", "", "", "", ""
"orgName", "Fulneck Congn", "", "", "", "", "", "", "", ""
"persName", "James", "", "", "", "", "", "", "", ""
"persName", "James", "", "", "", "", "", "", "", ""
"persName", "Mr Ingham", "", "", "", "", "", "", "", ""
"persName", "Mr Inghams", "", "", "", "", "", "", "", ""
"persName", "Mr Spangenberg", "", "", "", "", "", "", "", ""
"persName", "Robert Lilley", "", "", "", "", "", "", "", ""
"placeName", "Fieldhead", "", "", "", "", "", "", "", ""
"placeName", "Fulneck", "", "", "", "", "", "", "", ""
"placeName", "Fulneck", "", "", "", "", "", "", "", ""
"placeName", "Hall", "", "", "", "", "", "", "", ""
"placeName", "High Town", "", "", "", "", "", "", "", ""
"placeName", "Parish of Berstal", "", "", "", "", "", "", "", ""
"placeName", "S. Srs House", "", "", "", "", "", "", "", ""
"placeName", "Yorkshire", "", "", "", "", "", "", "", ""
"roleName", "Br", "honorific", "", "", "", "", "", "", ""
"roleName", "Lord", "honorific", "", "", "", "", "", "", ""
"roleName", "Lord", "honorific", "", "", "", "", "", "", ""
"roleName", "Redeemer", "honorific", "", "", "", "", "", "", ""
"roleName", "Saviour", "honorific", "", "", "", "", "", "", ""
"roleName", "Saviours", "honorific", "", "", "", "", "", "", ""
"roleName", "Savr", "honorific", "", "", "", "", "", "", ""
"roleName", "Savr", "honorific", "", "", "", "", "", "", ""
"roleName", "Savr", "honorific", "", "", "", "", "", "", ""
"roleName", "Savr", "honorific", "", "", "", "", "", "", ""
"roleName", "Savr", "honorific", "", "", "", "", "", "", ""
"roleName", "Savrs", "honorific", "", "", "", "", "", "", ""
"roleName", "holy Ghosts", "honorific", "", "", "", "", "", "", ""
