"elementName", "elementContent", "typeAttributeIfPresent", "occupation", "office", "health", "event", "ceremony", "calendar", "when"
"date", "1749", "", "", "", "", "", "", "", "1749"
"date", "1753", "", "", "", "", "", "", "", "1753"
"date", "3 Years old", "", "", "", "", "", "", "", "1747"
"date", "7th", "", "", "", "", "", "", "", "1761-05-07"
"date", "9th", "", "", "", "", "", "", "", "1761-05-09"
"date", "August the 21st 1758", "", "", "", "", "", "", "", "1758-08-21"
"date", "Jany 9, 1797", "", "", "", "", "", "", "", "1797-01-09"
"date", "May the 26th 1743", "birth", "", "", "", "", "", "", "1743-05-26"
"date", "May the 9th 1761", "death", "", "", "", "", "", "", "1761-05-09"
"date", "Novr 1759", "", "", "", "", "", "", "", "1759-11"
"date", "latter end of April", "", "", "", "", "", "", "", "1761-04"
"name", " receiv'd", "", "", "", "", "reception", "", "", ""
"name", "Sickness", "", "", "", "disease", "", "", "", ""
"name", "dark and gloomy", "emotion", "", "", "", "", "", "", ""
"name", "dear and promising", "emotion", "", "", "", "", "", "", ""
"name", "holy Communion", "", "", "", "", "communion", "", "", ""
"name", "impediment in his Eyesight", "", "", "", "disease", "", "", "", ""
"name", "learn the shoema kers business", "", "shoemaker", "", "", "", "", "", ""
"name", "my heart has not been so lively as it should", "", "", "", "disease", "", "", "", ""
"name", "very difficult for him to speak", "", "", "", "disease", "", "", "", ""
"orgName", "Brn", "", "", "", "", "", "", "", ""
"orgName", "Brn", "", "", "", "", "", "", "", ""
"orgName", "Brn", "", "", "", "", "", "", "", ""
"orgName", "Childns Oeconomy", "", "", "", "", "", "", "", ""
"orgName", "Congn", "", "", "", "", "", "", "", ""
"orgName", "Congn", "", "", "", "", "", "", "", ""
"orgName", "Congn", "", "", "", "", "", "", "", ""
"orgName", "Oeconomies", "", "", "", "", "", "", "", ""
"orgName", "Oeconomy", "", "", "", "", "", "", "", ""
"orgName", "great Boys choir", "", "", "", "", "", "", "", ""
"persName", "John Morgan", "", "", "", "", "", "", "", ""
"persName", "Renatus", "", "", "", "", "", "", "", ""
"placeName", "Bullermeer", "", "", "", "", "", "", "", ""
"placeName", "Choir-house", "", "", "", "", "", "", "", ""
"placeName", "Kensington", "", "", "", "", "", "", "", ""
"placeName", "Lambshill", "", "", "", "", "", "", "", ""
"placeName", "London", "", "", "", "", "", "", "", ""
"placeName", "Smith house", "", "", "", "", "", "", "", ""
"placeName", "Smith house", "", "", "", "", "", "", "", ""
"placeName", "choirhouse", "", "", "", "", "", "", "", ""
"roleName", "Br", "honorific", "", "", "", "", "", "", ""
"roleName", "Redeemer", "honorific", "", "", "", "", "", "", ""
"roleName", "Saviour", "honorific", "", "", "", "", "", "", ""
"roleName", "Savr", "honorific", "", "", "", "", "", "", ""
"roleName", "Savr", "honorific", "", "", "", "", "", "", ""
"roleName", "Savr", "honorific", "", "", "", "", "", "", ""
