"elementName", "elementContent", "typeAttributeIfPresent", "occupation", "office", "health", "event", "ceremony", "calendar", "when"
"date", "15. Dec.", "", "", "", "", "", "", "", "1752-12-15"
"date", "About 10 weeks ago", "", "", "", "", "", "", "", "1752-10-07"
"date", "April 1722", "", "", "", "", "", "", "", "1722-04"
"date", "April ye 26, 1698", "birth", "", "", "", "", "", "", "1698-04-26"
"date", "Dec. 12", "", "", "", "", "", "", "", "1752-12-12"
"date", "March the 24 1749", "", "", "", "", "", "", "", "1749-03-24"
"date", "Nov. the 29", "", "", "", "", "", "", "", "1752-11-29"
"date", "Nov: 19", "", "", "", "", "", "", "", "1752-11-19"
"date", "Nov: the 12", "", "", "", "", "", "", "", "1752-11-12"
"date", "Oct The 28", "", "", "", "", "", "", "", "1752-10-28"
"date", "Oct the 1st 1748", "", "", "", "", "", "", "", "1748-10-01"
"date", "next Sunday", "", "", "", "", "", "", "", "1752-12-17"
"name", "Communion", "", "", "", "", "communion", "", "", ""
"name", "Communion", "", "", "", "", "communion", "", "", ""
"name", "Desire is, to be with my dr Saviour", "emotion", "", "", "", "", "", "", ""
"name", "Do-ctors", "", "doctor", "", "", "", "", "", ""
"name", "Doctors", "", "doctor", "", "", "", "", "", ""
"name", "He grew worse and could work no more", "", "", "", "disease", "", "", "", ""
"name", "His Pains growing stronger", "", "", "", "disease", "", "", "", ""
"name", "Requests this favour granted him", "", "", "", "", "reception", "", "", ""
"name", "Sacrament", "", "", "", "", "sacrament", "", "", ""
"name", "Sacrament", "", "", "", "", "sacrament", "", "", ""
"name", "Sermon", "", "", "", "", "religious", "", "", ""
"name", "Severe Costiveness to a real Purging", "", "", "", "recovered", "", "", "", ""
"name", "Shoemaker", "", "shoemaker", "", "", "", "", "", ""
"name", "chearfull, lively and happy", "emotion", "", "", "", "", "", "", ""
"name", "extreme pain", "", "", "", "disease", "", "", "", ""
"name", "he grew weaker and weaker", "", "", "", "disease", "", "", "", ""
"name", "he was in great pain", "", "", "", "disease", "", "", "", ""
"name", "holy Communion", "", "", "", "", "communion", "", "", ""
"name", "married", "", "", "", "", "marriage", "", "", ""
"name", "severe Costiveness and Pain in his Bowels", "", "", "", "disease", "", "", "", ""
"name", "so happy in his heart", "emotion", "", "", "", "", "", "", ""
"name", "violent pain", "", "", "", "disease", "", "", "", ""
"orgName", "Brethren", "", "", "", "", "", "", "", ""
"orgName", "Brethren", "", "", "", "", "", "", "", ""
"orgName", "Brn", "", "", "", "", "", "", "", ""
"orgName", "Communion", "", "", "", "", "", "", "", ""
"orgName", "Congregation", "", "", "", "", "", "", "", ""
"orgName", "Congregation", "", "", "", "", "", "", "", ""
"persName", "Crispin", "", "", "", "", "", "", "", ""
"persName", "Crispin Taylor", "", "", "", "", "", "", "", ""
"persName", "Crispin Taylor", "", "", "", "", "", "", "", ""
"persName", "Hauptmann", "", "", "", "", "", "", "", ""
"persName", "Hauptmann", "", "", "", "", "", "", "", ""
"persName", "Hauptmanns", "", "", "", "", "", "", "", ""
"persName", "Hurlock", "", "", "", "", "", "", "", ""
"persName", "Jesus", "deity", "", "", "", "", "", "", ""
"persName", "Jesus", "deity", "", "", "", "", "", "", ""
"persName", "Mary Wilkinson", "", "", "", "", "", "", "", ""
"persName", "Mr. Ingham", "", "", "", "", "", "", "", ""
"persName", "Oxlee", "", "", "", "", "", "", "", ""
"persName", "Oxlee", "", "", "", "", "", "", "", ""
"persName", "Oxlee", "", "", "", "", "", "", "", ""
"persName", "Oxlee", "", "", "", "", "", "", "", ""
"persName", "Oxlee", "", "", "", "", "", "", "", ""
"persName", "Oxlee", "", "", "", "", "", "", "", ""
"persName", "Oxlee", "", "", "", "", "", "", "", ""
"persName", "Toltshig", "", "", "", "", "", "", "", ""
"placeName", "Grace Hall", "", "", "", "", "", "", "", ""
"placeName", "Parish of Birstall", "", "", "", "", "", "", "", ""
"placeName", "Wyke", "", "", "", "", "", "", "", ""
"placeName", "Yorkshire", "", "", "", "", "", "", "", ""
"roleName", "& Sr", "", "", "", "", "", "", "", ""
"roleName", "B", "", "", "", "", "", "", "", ""
"roleName", "Br", "", "", "", "", "", "", "", ""
"roleName", "Br", "", "", "", "", "", "", "", ""
"roleName", "Br", "", "", "", "", "", "", "", ""
"roleName", "Br", "", "", "", "", "", "", "", ""
"roleName", "Br", "", "", "", "", "", "", "", ""
"roleName", "Br", "", "", "", "", "", "", "", ""
"roleName", "Br", "", "", "", "", "", "", "", ""
"roleName", "Br", "", "", "", "", "", "", "", ""
"roleName", "Br", "", "", "", "", "", "", "", ""
"roleName", "Br", "", "", "", "", "", "", "", ""
"roleName", "Br", "", "", "", "", "", "", "", ""
"roleName", "Brother", "", "", "", "", "", "", "", ""
"roleName", "Saviour", "honorific", "", "", "", "", "", "", ""
"roleName", "Saviour", "honorific", "", "", "", "", "", "", ""
"roleName", "Saviour", "honorific", "", "", "", "", "", "", ""
"roleName", "Saviour", "honorific", "", "", "", "", "", "", ""
"roleName", "Saviour", "honorific", "", "", "", "", "", "", ""
"roleName", "Saviour", "honorific", "", "", "", "", "", "", ""
"roleName", "Saviour", "honorific", "", "", "", "", "", "", ""
"roleName", "Saviour", "honorific", "", "", "", "", "", "", ""
"roleName", "Saviour", "honorific", "", "", "", "", "", "", ""
"roleName", "Saviours", "honorific", "", "", "", "", "", "", ""
"roleName", "Saviours", "honorific", "", "", "", "", "", "", ""
"roleName", "Saviours", "honorific", "", "", "", "", "", "", ""
